,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Lead Data Scientist - Underwriting Algorithms,$119K-$186K (Glassdoor est.),"Faire is using machine learning to change wholesale and help local retailers compete with Amazon and big box stores. Our experienced data scientists and machine learning engineers are tackling recommendations, ranking, search, logistics, underwriting, and more - all with the goal of helping local retail thrive.

Job Description

The Data Science team owns a wide variety of algorithms and models that power the marketplace. We care about building machine learning models that help our customers thrive. The data science team helps answer questions like; How do we underwrite retailers with thin files? How do we optimally assign term limits to Faire retailers? How to minimize the risk of defaults while maximizing the share of wallet growth driven by net terms? What data sources should we invest in to improve the performance of our credit models?

We're looking for someone who's comfortable working on the cutting edge of machine learning research. You're happy working autonomously and delivering results without micromanagement. You wake up ready to take a problem end-to-end, dive into the guts of our information-rich databases, and produce actionable insights. You can't wait to push the boundaries and discover the next big thing, then share it with your peers. You are, or will be, world-class in credit risk and help lead the wider data community. Faire will soon be known as a top destination for data scientists and machine learning, and you will help take us there!

You're excited about this role because
You'll be able to work on cutting edge credit underwriting problems combining a wide variety of data about our retailers, makers and products
You are passionate about solving problems in the FinTech space with innovative machine learning techniques and using alternate data sources for risk management
You want to use machine learning to help local retailers and independent makers succeed
You want to be a foundational member of a fast-growing company
Qualifications
3+ years of industry experience in developing, testing, and validating credit risk models in the financial services industry
Experience applying with either boosted trees models, decision trees, or other models to solve credit underwriting problems
Strong skills in statistics, probability, and/or machine learning
A track record of solving problems using data science. The tooling/language isn't important. (e.g., numpy, pandas, scikit-learn, R, etc.)
Experience with relational databases and SQL
Relentless resourcefulness and the ability to thrive in a startup -- you're willing to do what needs to be done for the success of your team
The ability to self-regulate and get stuff done with minimal direct supervision
Strong communication skills and the ability to work with others in a closely collaborative team environment.
Nice to have:
MSc or PhD in any mathematical or statistical subject, e.g.: mathematics, statistics, computer science, astrophysics, neuroscience, operations research, economics, any of the physical sciences
Experience with capital markets reporting and credit line management is a plus
What We Offer:
We're growing fast. You will get in on the ground floor of something that's going to be special.
We're funded by the best VCs in the world.
Our founding team is experienced and led the development of one of the top 25 apps in the US App Store (Square Cash).
Great technology stack. It's fun to work with the best tools and the latest software.
The business makes sense. It's straightforward, provides clear value to both retailers and makers. You get to help change an entire industry for the better.
It's beautiful. Work on something that's well-designed, following the footsteps of Apple and Square.
About Faire

Faire is an innovative online marketplace that uses machine learning to match local retailers with the makers of products that uniquely fit their stores. We are using the power of technology to connect makers and boutiques from all over the world, building a thriving community of over 50,000 small business owners.

Our mission is to empower entrepreneurs to chase their dreams. We believe entrepreneurship is a calling. It's a way of life that offers people a level of autonomy and fulfillment that's become difficult to find elsewhere in our economy. Most of our customers have left behind jobs they hated to take a chance on themselves. We want to make sure their boldness and self-belief gets rewarded.

This mission also extends to the way we are building the company. Every member of our team is an owner of the business and taking part in the founding process.

Faire is being built for entrepreneurs, by entrepreneurs.",4.3,"Faire
4.3","San Francisco, CA","San Francisco, CA",201 to 500 employees,2016,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,Shopify
1,Sr Data Scientist,$119K-$186K (Glassdoor est.),"About Figure

At Figure, we're on a mission to transform financial services through blockchain, bringing speed, efficiency and savings to both consumers and institutions.

Accomplishing this kind of transformation requires building really big things. And we understand that building big requires a creative, team oriented and supportive environment where everyone can do their absolute best work. The Figure team is comprised of incredibly driven, innovative, collaborative and curious people who love architecting and building from scratch. Everyone at the company is encouraged to be an individual contributor but also a team collaborator.

We value team members who bring an entrepreneurial mindset to every task and will embrace our culture of innovation. Every day at Figure is a journey in continuous learning yet a daily focus on getting work done that makes a difference.

This is an opportunity to work with a team of proven leaders who have already created billions of dollars in value in the Fintech space. Join us!

About the Role

Each member of the Data team plays an integral part of what we are building at Figure. We rely on advanced techniques in machine learning, cloud platforms and big data to drive decisions across the organization. If you are interested in working with an impressive team of Data pros who collaborate and challenge each other, and want to solve interesting problems to propel the company's growth, apply now!

What You'll Do
Develop custom models and algorithms to apply to large datasets, as well as, processes for monitoring and analyzing their performance.
Mine and analyze data from different resources, and use predictive modeling to increase and optimize customer experiences, customer acquisition, underwriting and other business outcomes.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Work with stakeholders throughout the organization to identify opportunities for leveraging data to drive business decisions.
Collaborate cross functionally to implement models and monitor outcomes.
What We Look For
PhD or MS in a quantitative field with 2+ years of work experience with extensive data sets
Strong problem solving skills with an emphasis on translating real-life problems into a concrete model development strategy. Blend academic rigor with a sense of pragmatism for rapidly prototyping and delivering solutions.
Experienced in using Python for analysis and modeling (TensorFlow is a big plus)
Experience applying a wide range of statistical techniques to large data sets, and understanding their real-world advantages/drawbacks.
Experience using web services (AWS, GCP), and distributed data/computing tools (Spark, Map/Reduce, Hadoop, Hive, etc.)
Excellent cross-functional communication skills.
Ability to thrive in a fast-paced environment.
Benefits To You
Competitive salary based on experience and skills
Firm-wide performance based bonus
Competitive stock options package as an early member of the team
A flexible paid time off and vacation policy
Comprehensive health, vision, dental insurance
Company FSA, 401k, commuter benefits
And much more to come!
Figure will not sponsor work visas for this position. In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification form upon hire.",4.4,"Figure
4.4","San Francisco, CA","San Francisco, CA",201 to 500 employees,2018,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1
2,Quality Control Scientist,$119K-$186K (Glassdoor est.),"Position Summary:

The Quality Control Scientist will provide oversight of contract analytical labs and manufacturers. This includes, review of analytical data from release and stability studies and review of method validation protocols and reports. The candidate should have a strong understanding of cGMPs and relevant ICH and FDA regulatory guidelines. Prior hand-on experience working in a QC lab and thorough understanding of root cause analysis for investigations is required. This position will interact and work closely with cross-functional teams, including, manufacturing, quality assurance and regulatory.

Responsibilities:
Review analytical data packages generated during GMP release/stability testing of drug substance and drug product at the contract manufacturing sites
Assist in investigations and formulate a plan to identify/confirm root cause for anomalous results
Write and/or review method validation and transfer protocols and reports
Write and/or review protocols and reports related to stability studies as well as prepare tables summarizing results from stability studies
Track and trend release and stability data for batch analysis and shelf life establishment
Initiate change control for internal specifications and regulatory documents
Evaluate and perform risk assessment for change control documents provided by the contract manufacturing sites
Manage reference standard program for drug substance, impurities and degradants
Qualifications:
B.S. or M.S in analytical chemistry or related scientific disciplines with 5+ years of experience in analytical development with minimum of 3+ years of experience in quality control
Skills, Knowledge & Abilities:
Hands-on proficiency and problem-solving skills with chromatographic techniques e.g. HPLC, UPLC and GC. Familiarity with mass and UV/VIS spectroscopic techniques is an advantage
Prior experience in interacting with contract labs and manufacturing sites is a plus
Hands-on experience with method validations and transfers in support of pharmaceutical manufacturing
Proficiency in performing root cause analysis for investigation
Experience with iStability software is a plus
Passion for learning, creating, relating, communicating, and leading cross functional teams
Excellent verbal and written communication skills
Experience in a start-up environment preferred
Must be pro-active team player, flexible, and open to change
Working Conditions: Will work from the Company’s San Francisco Bay Area office, with additional travel as required to oversee the virtual development and manufacturing network (estimated at 25%).

Physical Demands and Work Environment:

This is largely a sedentary role; however, some filing is required. This would require the ability to lift files, open filing cabinets and bend or stand on a stool as necessary.

This job operates in a professional office environment and routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines.

Benefits and Perks:

Apellis offers a great benefit package which includes: health insurance with full premium coverage, 401K with company match, paid time off (PTO), long- term disability insurance, life insurance and more! Visit http://apellis.com/careerbenefits.html to learn more.

Company Background:

We are a clinical-stage biopharmaceutical company focused on the development of novel therapeutic compounds to treat disease through the inhibition of the complement system, which is an integral component of the immune system, at the level of C3, the central protein in the complement cascade. We believe that this approach can result in broad inhibition of the principal pathways of the complement system and has the potential to effectively control a broad array of complement-dependent autoimmune and inflammatory diseases.

Visit http://apellis.com/about.html to learn more.

#LI-CB1",4.0,"Apellis Pharmaceuticals
4.0","San Francisco, CA","Waltham, MA",201 to 500 employees,2008,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
3,Senior Data Engineer,$119K-$186K (Glassdoor est.),"At Turo, you will have the opportunity to use the latest technologies to build robust scalable solutions for collecting, analyzing large data sets, creating and maintaining data pipelines, data structures and reports. In this role, you'll partner closely with software engineers, data analysts, and data scientists to power analytical data products, experimentation, and machine learning models.

Responsibilities
Work with members of the team to update our data engineering roadmap and execute upon those initiatives
Build new technology stack for highly scalable and available data pipelines used by Turo Product, Engineering, Data Scientists, Marketing, Customer Operations, and Finance teams
Design canonical data models for various business domains. Formulate a vision to connect all data in the Turo ecosystem
Kubernetes based self-supported Airflow with full lifecycle automation (provisioning, monitoring, alerting, capacity management, etc.)
Spark streaming infrastructure automation
EMR, distributed, multi-stage, scalable data pipelines
Data security automation
Data microservices development
Requirements
Past experience building ETL processes
Strong programmer who views their code as a craft
Experience with a workflow manager — Airflow, Luigi, Jenkins, etc.
Experience working with data tools in the public cloud (AWS, GCP, Azure)
Is able to have low level technical discussions with other engineers while still being able to explain concepts to less technical members.
Enjoys mentoring & teaching other engineers
3+ years of relevant experience
Benefits
Competitive salary and equity
Employer paid medical, dental, and vision insurance
Generous paid time off, paid holidays, paid volunteer time off, and paid parental leave
Fully-stocked kitchens
Company-sponsored happy hours and team events
Turo host matching and vehicle reimbursement program
Turo travel credit every month
About Turo


Turo is the world's largest car sharing marketplace where you can book any car you want, wherever you want it, from a vibrant community of trusted hosts across the US, Canada, the UK, and Germany. Guests choose from a totally unique selection of nearby cars, while hosts earn extra money to offset the costs of car ownership. A pioneer of the sharing economy and the travel industry, Turo is a safe, supportive community where the car you book is part of a story, not a fleet. Discover Turo at https://turo.com, the App Store, and Google Play, and check out our blog, Field Notes.

Turo has raised $450M to date from top-tier investors, including IAC, Daimler AG, Kleiner Perkins, GV, Canaan Partners, August Capital, and Shasta Ventures.

Turo cultivates a tight-knit team of smart, critical thinkers who care about their work and their colleagues. Our recruiting team is always on the lookout for supportive, down-to-earth, pioneering, and efficient candidates to grow our team's talent and enrich our culture.

Read more about the Turo culture according to Turo CEO, Andre Haddad.

We're an equal opportunity employer and value diversity at our company. We don't discriminate on the basis of race, religion, color, national origin, gender, gender identity, sexual orientation, age, marital status, veteran status, or disability status. When in doubt, please apply!",4.6,"Turo
4.6","San Francisco, CA","San Francisco, CA",201 to 500 employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
4,Data Science Health Innovation Fellow,$119K-$186K (Glassdoor est.),"JOB OVERVIEW
In 2019, UC Berkeley, UCSF, Johnson & Johnson Innovation and Janssen Research & Development came together to establish the Data Science Health Innovation Fellowship Program, to bring together experienced data scientists with academic and industry researchers, to facilitate collaboration among scientists, engineers, clinicians, and entrepreneurs, to tackle complex problems in health and patient care and to accelerate innovation in healthcare through data-driven approaches.

This fellowship program offers a two-year research and entrepreneurial opportunity for seasoned data science professionals to apply computer science, data science, data engineering, and computational statistics research and development principles, along with relevant domain science knowledge, to complex problems and datasets, to advance understanding of health and improve patient care by providing meaningful clinical insights. The fellowship program will recruit serial cohorts of up to six outstanding data scientists per year from industry and academia. We are seeking applications from a wide range of backgrounds.

The Data Science Health Innovation Fellows will receive training, support, and guidance from domain science and medical experts, including a mentor from each of the three collaborating organizations. The primary responsibility of the Fellows is to successfully identify and conduct interdisciplinary data-intensive research related to healthcare and use computational and data science technology as a tool to accomplish the aims of the research.

The Fellows will spend the first six months of the fellowship program developing feasible, innovative, high-impact, data science, and health-related translational research projects based on their interests and expertise, the availability of suitable mentors, and the availability of data and other resources. At the end of this period, the Fellows will present to the fellowship program’s Joint Steering Committee (JSC) detailed research project proposals that will include a problem statement and a proposed approach that highlights the proposals’ innovation(s), feasibility, impact, required datasets and resources, potential pitfalls, and possible solutions. Upon approval by the JSC, Fellows, working with their academic and industry mentors, will then conduct the research projects they proposed.

To be considered for the Program, all applicants must submit an application through UCSF Jobs Website. All applicants are strongly encouraged to visit the fellowship program website (https://innovateforhealth.berkeley.edu/) for detailed description of the fellowship program and a list of requested supplemental application materials. All selected Fellows will be hired as a full-time (100%) employee of the University of California for two years, with a starting salary dependent on qualifications and comparable to industry standards nationwide ($117,000-$130,000). Fellows will be based both at the Berkeley Institute for Data Science (BIDS) at UC Berkeley and the Bakar Computational Health Sciences Institute (BCHSI) at UCSF. Fellows will travel to Johnson & Johnson sites as needed to further scientific collaboration, and will have limited support for conference travel. The program does not provide assistance with relocation, housing, or transportation. All applicants must be US permanent residents or citizens as we are currently unable to provide visa sponsorship or support.

Note: Six openings available. Full time two year contract starting from the date of hire.

Please submit both a resume or CV and a cover letter with your application.

https://innovateforhealth.berkeley.edu/

BCHSI:
The Bakar Computational Health Sciences Institute (BCHSI) is a critical component of a global UCSF initiative in Precision Medicine, which seeks to aggregate and integrate vast, disparate datasets to advance understanding of biological processes, determine mechanisms of disease, and inform diagnosis and treatment of patients. Beginning with a base of excellent computational faculty dispersed among our four top-ranked professional schools (Dentistry, Medicine, Nursing and Pharmacy) and Graduate Division, superb research programs and outstanding Medical Center, BCHSI will establish a central convening center, hire additional faculty, and build programs for research and education. BCHSI will develop and enhance UCSF’s computational approaches and strategies in basic, translational, clinical and population-based biomedical research, working with partners in industry and academia where appropriate. It will be a campus hub for computer scientists and for researchers who employ computation as a primary tool in their biomedical research.

BIDS:
Berkeley Institute for Data Science (BIDS) is Berkeley’s hub of data science research and education, bringing together broad constituents of our academic community, including domain experts from the life, social, and physical sciences and methodological experts from computer science, statistics, and applied mathematics. BIDS staff and affiliated faculty include world-class researchers who are leading the advancement of data science within their fields. BIDS also serve as the home for researchers participating in multiple data science fellowship programs. Across and beyond this community, we actively seek creative ways to foster research collaboration across disciplines, for example, through seminars and training programs. Additionally, BIDS is home to several founders and core developers of leading open source software projects that support data-driven discovery and reproducible research. In fact, over 20 million people worldwide use open source software developed at the BIDS for data-intensive research in health, the environment and other areas, including software for complex image and network analysis.

UC BERKELEY:
The University of California, Berkeley (UCB), is one of the world’s most iconic teaching and research institutions. Since 1868, Berkeley has fueled a perpetual renaissance, generating unparalleled intellectual, economic and social value in California, the United States and the world. Berkeley’s culture of openness, freedom and acceptance—academic and artistic, political and cultural—make it a very special place for students, faculty and staff.

ABOUT UCSF:
The University of California, San Francisco (UCSF) is a leading university dedicated to promoting health worldwide through advanced biomedical research, graduate-level education in the life sciences and health professions, and excellence in patient care. It is the only campus in the 10-campus UC system dedicated exclusively to the health sciences.

LI-NL1

Required Qualifications:

• Bachelor's degree with seven+ years of experience in a technical discipline such as Computer Science, Engineering, Statistics, Physics, Math or other related fields
• Entrepreneurial abilities: demonstrated skills in finding unmet needs, translating those into tractable solutions that can be implemented, and working with few specifically assigned resources
• In depth skills and experience with independently resolving complex computing/data/CI problems using introductory and/or intermediate principles
• Ability to curate/clean/organize large and messy datasets; to write code to query and transform both unstructured and structured data
• Strong programming skills in scripting languages such as Python, Java/Scala, and SQL and comfort with advanced analytics tools such as R, Spark, and/or Tableau, in addition to in programming languages (e.g. C/C++). Strong working knowledge of Hadoop, extraction/transformation/loading (ETL). Record of prototyping, developing and scaling software
• Fluent in using scientific computing environments, e.g. HPC cluster (CPUs and GPUs) or cloud (AWS, Azure, Google, Salesforce, IBM, or VMWare)
• Highly advanced skills, and extensive experience associated with multiple of the following: data modeling; data mining; mathematical modeling; artificial intelligence; machine learning; deep learning models (e.g., 2/3d CNN, LSTM/GRU), architecture (e.g., Resnet, U-net), and frameworks (e.g.,Tensorflow, pytorch, keras); natural language processing; knowledge graphs; reinforcement learning; data representation, and optimization
• Strong collaboration skills with highly technical researchers and ability to engage across a variety of methodological fields (e.g., computer science, mathematics, and statistics), computational platforms, and ideally, research domains (e.g., health sciences, life sciences, social sciences, and medicine)
• Excellent and demonstrated ability to regularly, effectively communicate with management teams
• Ability to communicate data insights that translate into significant impact in a clear and effective manner to technical and non-technical personnel at various levels in the organization and to external research and education audiences
• Self-motivated and works independently and as part of a team

Preferred Qualifications:
• Master's degree with six+ years of relevant experience or Doctoral degree with three+ years of relevant experience. Degree(s) should be in a technical discipline such as Computer Science, Engineering, Statistics, Physics, Math or other related fields
• Prior experience with biomedical data
• Experience working in health and biomedical sectors

n/a

The University of California San Francisco is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, protected veteran or disabled status, or genetic information.",4.0,"University of California San Francisco
4.0","San Francisco, CA","San Francisco, CA",10000+ employees,1864,College / University,-1,-1,$25 to $50 million (USD),-1
5,Mid-level Environmental Scientist/Planner,$119K-$186K (Glassdoor est.),"Integral Consulting Inc. (www.integral-corp.com) provides technical insight, strategy, and project delivery to help our clients move forward in an evolving world. We seek to achieve this mission by creating a business culture of client service, technical excellence, innovation, and collaboration. Equally, we hold ourselves to strong internal commitments to health and safety, sustainability, diversity, mutual respect, collegiality, and the professional development of our staff.
We are currently seeking a mid-level Environmental Scientist/Planner for our San Francisco, CA or Santa Rosa, CA office. The desired candidate will be a detail-oriented individual who can provide support with risk assessment, environmental permitting, planning, and site cleanup projects.

How to Apply:https://www.integral-corp.com/career/mid-level-environmental-scientist-planner/
Day-to-Day Responsibilities
Your job functions will include, but not be limited to:
Assisting in data collection
Conducting analyses
Writing sections for technical documents
Assisting in preparation of permit applications
Coordinating with subconsultants and project team members and interfacing with regulatory agencies
Assisting with various aspects of site remediation projects and supporting field activities
Assisting project managers with budget and schedule tracking and other project management duties.
Qualifications
B.S. or M.S. degree in environmental science, planning, environmental studies, toxicology, or a related field
A minimum of 2–5 years of professional experience in environmental consulting
Direct experience and knowledge of California regulations, and skills in one or more of the following: assisting in research for and preparing NEPA and CEQA planning documents; site/risk assessment; toxicology; environmental permitting; environmental modeling; and environmental investigation and cleanup projects
Experience with site assessment, risk assessment, air quality evaluations, as well as field activities, and technical reports.
Strong quantitative, analytical, and organizational skills
Ability to handle multiple project assignments simultaneously
A desire to learn and grow both intellectually and professionally
Proficiency in Microsoft products
An aptitude for data analytics/coding/modeling
Strong oral and written communication skills
Demonstrated ability to work successfully within multidisciplinary and diverse teams.
How to Apply:https://www.integral-corp.com/career/mid-level-environmental-scientist-planner/
Competitive salary is commensurate with experience. Integral Consulting Inc. provides an exceptional benefits package with company-subsidized insurance, and an exciting work environment with opportunities for significant professional growth.
All offers of employment are contingent on candidates passing a background screening that includes employment history, criminal background, Federal Watch List, a drug and alcohol screening, and, if applicable, a degree verification. Candidates will receive a written notice of this requirement. All screenings will be done in accordance with all local, state, and federal laws.
We are proud to be an equal employment opportunity employer and are committed to a proactive program of affirmative action and diversity development.
Integral Consulting Inc. provides equal opportunity in all of our employment practices to all qualified employees and applicants without regard to race; color; religion; gender (including pregnancy, childbirth, or related medical conditions); national origin; age; sexual orientation; disability; marital status; military, veteran, or Vietnam Era Veterans’ Readjustment Assistance Act protected veteran status; gender identity or gender expression; or any other category protected by federal, state, and local laws. The “EEO is the Law” poster can be viewed here: http://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdf.",3.7,"Integral Consulting
3.7","San Francisco, CA","Seattle, WA",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1
6,CONSULTANT– DATA ANALYTICS GROUP,$119K-$186K (Glassdoor est.),"CONSULTANT– DATA ANALYTICS GROUP


Opinion Dynamics advances knowledge to address emerging energy and social issues

through sound and insightful research. Our inter-disciplinary team of consultants provides actionable research to support the needs of our clients, which include electric and gas utilities, regulators, and stakeholders. Our research and consulting services inform program planning and design, performance assessment, and optimization of energy efficiency, demand response, and renewable energy programs. Our company fosters innovative thought, collegiality and growth opportunities for our employees. The Data Science Group within Opinion Dynamics is especially focused on technical, quantitative aspects of our analysis services.

Responsibilities


What we’re looking for:

Opinion Dynamics seeks a new team member to join our Data Analytics group to solve complex data management questions in support of energy policy evaluations. Our ideal candidate enjoys data mining and data munging, is a problem solver, and is excited to work with a multidisciplinary team of data scientists, statisticians, data analysts, and programmers.

Qualifications


What you’ll need:
Minimum Bachelor’s degree in quantitative social science, statistics, political science, economics, computer science and data management or related field
Two or more years’ work experience in data management, ideally developing and maintaining databases, data ingestion, cleaning, summarizing, aggregation and manipulation
Strong programming skills in one or more programming languages (R, Python, Java, SQL, go, Scala, etc.)
Experience importing, cleaning and manipulating large datasets (500,000+ records) using one or more statistical packages (R, Python, STATA) and identifying, summarizing and effectively correcting data inconsistencies, as well as clearly documenting and communicating data exploration and cleaning decisions while assessing their effect on resulting data structures and possible analyses
Experience conducting econometric modeling or statistical regression analysis
Demonstrated track-record of thinking critically about your work and clearly communicating with other project staff and managers about your work
Demonstrated interest in the energy field, energy policy, or building science
Ability to juggle and prioritize multiple tasks and deadlines simultaneously and flexibly
Two or more years’ work experience in data analysis, ideally evaluating energy efficiency programs and/or performing other forms of longitudinal data analysis, OR higher educational attainment with relevant coursework
Beneficial:
Experience analyzing IoT data
Strong statistical analysis and modeling skills preferably using R or Python
Experience with model validation techniques
Experience with machine learning methods
Demonstrated aptitude with data visualization tools and techniques
Experience working with diverse set of teams supporting data needs
How To Apply:

To be considered for this position, please submit your cover letter (required) and resume with “Data Analytics Consultant” in the subject line. If contacted, please be prepared to provide data analysis and writing samples that clearly demonstrate your experience and aptitude in the areas outlined above, as well as two or more references who can speak to your experience, work orientation, and work ethic.

To be considered for this position, please send your cover letter and resume to:

Careers: Consultant- Data Analytics Group

careersCA@opiniondynamics.com

Please submit a cover letter and resume to CareersCA@opiniondynamics.com.

No phone calls, please. Only those resumes accompanied by a cover letter will be considered. Opinion Dynamics will not provide sponsorship for work authorization for this position. Opinion Dynamics is an affirmative action-equal opportunity employer.",4.2,"Opinion Dynamics
4.2","San Francisco, CA","Waltham, MA",51 to 200 employees,1987,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1
7,Data Analyst - Asset Management,$119K-$186K (Glassdoor est.),"Summary

The Data Analyst is responsible for producing meaningful, relevant, and insightful analysis of real estate market conditions for all properties in the Maximus portfolio by synthesizing data to interpret economic and real estate trends.

Responsibilities
Analyze existing resident information, marketing, and development data to help focus efforts and optimize revenue.
Analyze economic, demographic, real estate and financial data and trends.
Author reports analyzing regional and metropolitan area trends.
Contribute to real estate forecasting procedures.
Provide analytical support to clients.
Prepare presentations and materials.
Skills and Abilities
Expert knowledge in SQL.
Passionate about operations, real estate, and working in a high growth environment.
Outstanding quantitative and analytical skills and an ability to dive into the data in order to get to the story behind the numbers.
Detailed understanding of financial modeling.
Excellent analytical, presentation, and visualization skills.
Great written and verbal communication skills.
Must be patient, careful, very detail-oriented, and be able to QA & debug SQL/code.
Requirements
Bachelors Degree in CS or related technical discipline.
5+ years of relevant working experience.
Solid understanding statistics and trends.
Experience with generating reports, Yardi preferred.
Experience in real estate or a related industry a plus working with renter information and marketing data.
Maximus is an equal opportunity employer: we do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",4.2,"Maximus Real Estate Partners
4.2","San Francisco, CA","San Francisco, CA",51 to 200 employees,2013,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,"Greystar, The Related Companies, Prometheus Real Estate Group"
8,Senior Data Scientist,$119K-$186K (Glassdoor est.),"Location: San Francisco, CA- United States
Job ID: 20WD40666

Position Overview
Autodesk is seeking a Senior Data Scientist to join our Data Platform & Insights organization. The organization is chartered with building innovative data products and analytics solutions for Autodesk’s strategy, product, marketing, sales and customer support teams. This critical data scientist role will help us make machine intelligence an integral part of how Autodesk makes decisions and designs and builds its products.

You will work alongside a product development team and apply data mining, analytics and machine learning methods to understanding how customers use, adopt and achieve successful outcomes with our products. The ideal candidate is a strong data scientist who thinks outside the box, is naturally curious, highly collaborative, and has a passion for tackling complex data-centric problems.

Responsibilities
Work on a variety of problems that seek to better understand how customers use their products and what drives deeper adoption and usage of products
Apply your quantitative analysis, data mining and machine learning expertise to building models that make sense of user needs, usage patterns, factors that drive deeper adoption and contribute to subscriber churn
Influence product development, strategy and roadmap prioritization
Design and implement machine learning pipelines that improve Autodesk’s evidence-based decision-making capabilities
Tackle complex problems requiring a creative mindset to find innovative and elegant solutions

Minimum Qualifications
BS/MS/PhD in the fields of: Mathematics, Physical Sciences, Statistics/Analytics, Computer Science, or other relevant fields
Experience working with relational SQL and/or NoSQL databases
Experience working with big data platforms (Hadoop, Spark, Hive)
Fluency with one or more programming language: Python, Java, Scala, etc.
Good understanding of CS fundamentals, e.g. algorithms and data structures
Experience in statistical programming tools such as R, Matlab, SAS, Python data science toolkits, etc.
Experience with data science toolkits like pandas, Jupyter, scikit, TensorFlow, etc.
Familiarity with Statistics concepts and analysis, e.g. hypothesis testing, regression, experimental design, etc.
Familiarity with Machine Learning techniques, e.g. classification, clustering, regularization, optimization, dimension reduction, etc.
Good communication skills and ability to explain complex topics to both technical and non-technical audience as well",4.0,"Autodesk
4.0","San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),-1
9,Data Scientist - Machine Learning,$119K-$186K (Glassdoor est.),"Headquartered in Brisbane, Calif., CareDx, Inc. is a leading precision medicine solutions company focused on the discovery, development and commercialization of clinically differentiated, high-value healthcare solutions for transplant patients and caregivers. CareDx offers products, testing services and digital healthcare solutions along the pre- and post-transplant patient journey, and is the leading provider of genomics-based information for transplant patients.

Data Scientist-Machine Learning

As a member of Data Sciences & Bioinformatics group you will be responsible for development of new machine/deep learning algorithms. The richness of a transplant data-lake a repository of large and complex data will provide the opportunity for implementation of these models. Individuals should have excellent working skills in multiple programming languages (R, Python) with demonstrated application development using TensorFlow/PyTorch. Additionally, a significant understanding of probabilistic and dynamic modelling in solving computational biology problems is highly desirable. Your contributions will be foundational to the companys mission of improving the lives of organ transplant patients.

Responsibilities:

Design, implement and support analytical data pipelines driven by TensorFlow/PyTorch
Implement predictive, generalized linear model, Bayesian Machine Learning, neural network as needed
Have excellent collaboration skills and be able to work with Software engineers for development of Data Lake
Qualifications:

Ph.D in Physics, Computational Biology, Computer Science, Math or Experimental biology with demonstrated Applied Math
5+ years experience developing and deploying scalable ML models computational biology applications are particularly desirable
Experience using TensorFlow,PyTorch, Keras, NumPy, Scipy, MLib and knowledge of ML libraries and platforms
Professional level understanding of Docker, GitHub
Ability to program against REST APIs is preferred
Expertise and experience with Data Lakes data and knowledge of ETL in this regard is highly desirable
Experience with HDFS, Apache Spark, Apache Kafka, OpenCV, Amazon EC2 is highly desirable
A self-driven approach with an ability and desire to communicate to a non-technical audience how complex systems work and can be applied to challenging data processing problems
A solid scientific foundation and familiarity with current literature
Additional Details:


Every individual at CareDx has a direct impact on our collective mission to improve the lives of organ transplant patients worldwide. We believe in taking great care of our people, so they take even greater care of our patients.

Our competitive Total Rewards package includes:
Competitive base salary and incentive compensation
Health and welfare benefits including a gym reimbursement program
401(k) savings plan match
Employee Stock Purchase Plan
Pre-tax commuter benefits
And more!
In addition, we have a Living Donor Employee Recovery Policy that allows up to 30 days of paid leave annually to a full-time employee who makes the selfless act of donating an organ or bone marrow.

With products that are making a difference in the lives of transplant patients today and a promising pipeline for the future, its an exciting time to be part of the CareDx team. Join us in partnering with transplant patients to transform our future together.

CareDx, Inc. is an Equal Opportunity Employer and participate in E-Verify program.
******* We do not accept resumes from headhunters, placement agencies, or other suppliers that have not signed a formal agreement with us.",2.6,"CareDx
2.6","Brisbane, CA","Brisbane, CA",1 to 50 employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Sequenom
